項次,站名,站數,開放時間,緯度座標,經度座標,行政區,地址
1,陽明大樓第二停車場,15,上班日 0700-2000 假日不開放,24.245309,120.722007,420,臺中市豐原區自強南街兩側
2,臺中市政府秘書處-陽明大樓B1停車場,5,上班日 0700-2000 假日不開放,24.246752,120.720621,420,臺中市豐原區陽明街36號
3,市政中心地下停車場,21,上班日07-21假日07-2230,24.161838,120.646861,407,臺中市西屯區臺灣大道三段99號
4,臺中市豐原區公所,2,上班日 0800-1700 假日不開放,24.241916,120.718129,420,臺中市豐原區市政路2號
5,臺中市豐原地政事務所,7,上班日 0800-1700 假日不開放,24.248955,120.714166,420,臺中市豐原區西安街21號
6,臺中市立港區藝術中心,2,每日0500-2200,24.248955,120.714166,436,臺中市清水區忠貞路21號
7,臺中市柴油車排煙檢測站(后里站),1,上班日 08-17 假日不開放,24.287645,120.733057,421,臺中市后里區寺山路隧道口巷17-20號
8,臺中市大雅區公所,2,上班日 0800-1700 假日不開放,24.229135,120.647983,428,臺中市大雅區雅環路二段301號
9,臺中市大雅戶政事務所,2,上班日 0800-1700 假日不開放,24.229201,120.648385,428,臺中市大雅區雅環路二段299號
10,臺中市神岡區公所,2,上班日 0800-1700 假日不開放,24.257997,120.661425,429,臺中市神岡區神岡路30號
11,臺中市神岡戶政事務所,1,上班日 0800-1700 假日不開放,24.256613,120.658853,429,臺中市神岡區神岡路121之1號
12,臺中市烏日區公所,1,上班日 08-17假日不開放,24.104632,120.623852,414,臺中市烏日區新興路316號
13,臺中市龍井區公所,1,上班日08-1700假日不開放,24.192488,120.545797,434,臺中市龍井區沙田路四段247號
14,臺中市大里地政事務所,3,上班日08-1700假日不開放 ,24.110565,120.685449,412,臺中市大里區西榮里東榮路296號
15,臺中市政府環境保護局,6,全天候開放,24.159591,120.648273,407,臺中市西屯區文心路二段588號
16,臺中市中山地政事務所,3,上班日 07-18 假日不開放,24.136472,120.673642,402,臺中市西區三民路一段158號
17,臺中市政府地政局（B1）停車場,3,上班日 07-18 假日不開放,24.136472,120.673642,402,臺中市西區三民路一段158號
18,臺中市政府交通局本部停車場,2,全天候開放,24.139685,120.677601,402,臺中市西區民權路101號
19,臺中市大墩文化中心    ,2,二-日9:00~21:00,24.141474,120.665989,402,臺中市西區英才路600號
20,臺中市太平區公所      ,1,上班日 08-1700 假日不開放,24.126681,120.718575,411,臺中市太平區中平路144號
21,臺中市太平戶政事務所  ,4,平日 08:00-1732,24.146754,120.725581,411,臺中市太平區大源路2之18號
22,臺中市東區區公所,2,上班日 08-17 假日不開放 ,24.13667,120.703739,401,臺中市東區長福路245號
23,臺中市西屯區公所,2,全上班日 08-17 假日不開放 ,24.165833,120.633667,407,臺中市西屯區市政北二路386號
